DHI,DNI,GHI,Clearsky_DHI,Clearsky_DNI,Clearsky_GHI,Solar_Zenith_Angle,Solar_Azimuth_Angle,Temperature,Humidity,Precipitable_Water,Wind_Direction,Wind_Speed,Cloud_Type,Fill_Flag,Pressure,Date
0.0,0.0,0.0,0.0,0.0,0.0,24.0,25.0,1000.0,3.776,0.0,29.4,1.0,0.0,0.0,94.37169,2014-01-01
0.0,0.0,0.0,0.0,0.0,0.0,24.0,25.0,1000.0,3.797,0.0,19.3,0.7,0.0,0.0,95.25159,2014-01-01
0.0,0.0,0.0,0.0,0.0,0.0,24.0,25.0,1000.0,3.825,0.0,15.6,0.7,0.0,0.0,95.73145,2014-01-01
0.0,0.0,0.0,0.0,0.0,0.0,24.0,25.0,1000.0,3.884,0.0,18.8,0.6,0.0,0.0,96.08132,2014-01-01
0.0,0.0,0.0,0.0,0.0,0.0,23.0,25.0,1000.0,3.945,0.0,20.6,0.4,0.0,0.0,96.13118,2014-01-01
0.0,0.0,0.0,0.0,0.0,0.0,19.0,25.0,1010.0,2.78,0.0,49.1,3.2,0.0,0.0,75.36104,2014-01-01
0.0,0.0,0.0,0.0,0.0,0.0,20.0,25.0,1010.0,91.14,2.788,0.0,48.7,3.3,0.0,76.14,2014-01-01
90.0,206.0,134.0,84.0,273.0,141.0,20.0,25.0,1010.0,77.94,2.803,0.0,49.8,3.2,0.0,76.93,2014-01-01
176.0,352.0,323.0,144.0,506.0,356.0,21.0,26.0,1010.0,65.32,2.836,0.0,49.9,3.1,0.0,75.65,2014-01-01
289.0,249.0,437.0,179.0,634.0,554.0,20.0,26.0,1010.0,53.73,2.827,0.0,51.3,3.3,0.0,70.79,2014-01-01
320.0,423.0,625.0,199.0,705.0,706.0,20.0,27.0,1010.0,44.0,2.82,0.0,53.2,3.2,0.0,66.01,2014-01-01
379.0,288.0,608.0,209.0,739.0,795.0,19.0,28.0,1010.0,37.62,2.805,0.0,55.9,3.1,0.0,62.24,2014-01-01
397.0,114.0,489.0,211.0,745.0,811.0,19.0,27.0,1010.0,36.4,2.772,0.0,58.3,3.0,0.0,61.35,2014-01-01
395.0,262.0,594.0,205.0,724.0,753.0,19.0,27.0,1010.0,40.82,2.722,0.0,59.5,2.9,0.0,60.95,2014-01-01
116.0,0.0,116.0,189.0,672.0,627.0,18.0,27.0,1010.0,49.38,2.663,0.0,60.2,2.9,0.0,60.92,2014-01-01
129.0,0.0,129.0,162.0,572.0,445.0,18.0,26.0,1010.0,60.34,2.637,0.0,61.2,3.0,0.0,61.79,2014-01-01
63.0,0.0,63.0,114.0,391.0,231.0,18.0,25.0,1010.0,72.6,2.602,0.0,60.6,2.9,0.0,67.32,2014-01-01
6.0,0.0,6.0,28.0,75.0,34.0,19.0,25.0,1010.0,85.6,2.564,0.0,58.1,3.0,0.0,70.17,2014-01-01
0.0,0.0,0.0,0.0,0.0,0.0,19.0,25.0,1010.0,99.03,2.551,0.0,54.7,3.1,0.0,70.98,2014-01-01
0.0,0.0,0.0,0.0,0.0,0.0,19.0,24.0,1010.0,112.7,2.563,0.0,50.3,3.1,0.0,71.8,2014-01-01
0.0,0.0,0.0,0.0,0.0,0.0,19.0,24.0,1010.0,2.6,0.0,45.7,3.0,0.0,0.0,72.54126,2014-01-01
0.0,0.0,0.0,0.0,0.0,0.0,19.0,24.0,1010.0,2.64,0.0,40.9,3.0,0.0,0.0,73.1814,2014-01-01
